Invoice_ID,Unit_price,Quantity,Tax 5%,Total,Date,Time,Payment,gross_income,rating,Month,DOW,Time_range,Customer type,Gender,product_line,City ,Branch,Rating_group
750-67-8428,74.69,7,26.14,548.97,1/5/2019,13:08,Ewallet,26.14,9.1,Jan,Sat,gross,Member,Female,Health and beauty,Yangon,A,Good
226-31-3081,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,3.82,9.6,Mar,Fri,morning,Normal,Female,Electronic accessories,Naypyitaw,C,Good
631-41-3108,46.33,7,16.22,340.53,3/3/2019,13:23,Credit card,16.22,7.4,Mar,Sun,afternoon,Normal,Male,Home and lifestyle,Yangon,A,Average
123-19-1176,58.22,8,23.29,489.05,1/27/2019,20:33,Ewallet,23.29,8.4,Jan,Sun,evening,Member,Male,Health and beauty,Yangon,A,Good
373-73-7910,86.31,7,30.21,634.38,2/8/2019,10:37,Ewallet,30.21,5.3,Feb,Fri,morning,Normal,Male,Sports and travel,Yangon,A,Poor
699-14-3026,85.39,7,29.89,627.62,3/25/2019,18:30,Ewallet,29.89,4.1,Mar,Mon,evening,Normal,Male,Electronic accessories,Naypyitaw,C,Poor
355-53-5943,68.84,6,20.65,433.69,2/25/2019,14:36,Ewallet,20.65,5.8,Feb,Mon,afternoon,Member,Female,Electronic accessories,Yangon,A,Poor
315-22-5665,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,36.78,8.0,Feb,Sun,morning,Normal,Female,Home and lifestyle,Naypyitaw,C,Good
665-32-9167,36.26,2,3.63,76.15,1/10/2019,17:15,Credit card,3.63,7.2,Jan,Thu,evening,Member,Female,Health and beauty,Yangon,A,Average
692-92-5582,54.84,3,8.23,172.75,2/20/2019,13:27,Credit card,8.23,5.9,Feb,Wed,afternoon,Member,Female,Food and beverages,Mandalay,B,Poor
351-62-0822,14.48,4,2.90,60.82,2/6/2019,18:07,Ewallet,2.90,4.5,Feb,Wed,evening,Member,Female,Fashion accessories,Mandalay,B,Poor
529-56-3974,25.51,4,5.10,107.14,3/9/2019,17:03,Cash,5.10,6.8,Mar,Sat,evening,Member,Male,Electronic accessories,Mandalay,B,Average
365-64-0515,46.95,5,11.74,246.49,2/12/2019,10:25,Ewallet,11.74,7.1,Feb,Tue,morning,Normal,Female,Electronic accessories,Yangon,A,Average
252-56-2699,43.19,10,21.60,453.50,2/7/2019,16:48,Ewallet,21.60,8.2,Feb,Thu,evening,Normal,Male,Food and beverages,Yangon,A,Good
829-34-3910,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,35.69,5.7,Mar,Fri,evening,Normal,Female,Health and beauty,Yangon,A,Poor
299-46-1805,93.72,6,28.12,590.44,1/15/2019,16:19,Cash,28.12,4.5,Jan,Tue,evening,Member,Female,Sports and travel,Mandalay,B,Poor
656-95-9349,68.93,7,24.13,506.64,3/11/2019,11:03,Credit card,24.13,4.6,Mar,Mon,morning,Member,Female,Health and beauty,Yangon,A,Poor
765-26-6951,72.61,6,21.78,457.44,1/1/2019,10:39,Credit card,21.78,6.9,Jan,Tue,morning,Normal,Male,Sports and travel,Yangon,A,Average
329-62-1586,54.67,3,8.20,172.21,1/21/2019,18:00,Credit card,8.20,8.6,Jan,Mon,evening,Normal,Male,Food and beverages,Yangon,A,Good
319-50-3348,40.30,2,4.03,84.63,3/11/2019,15:30,Ewallet,4.03,4.4,Mar,Mon,afternoon,Normal,Female,Home and lifestyle,Mandalay,B,Poor
300-71-4605,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,21.51,4.8,Feb,Mon,morning,Member,Male,Electronic accessories,Naypyitaw,C,Poor
371-85-5789,87.98,3,13.20,277.14,3/5/2019,10:40,Ewallet,13.20,5.1,Mar,Tue,morning,Normal,Male,Health and beauty,Mandalay,B,Poor
273-16-6619,33.20,2,3.32,69.72,3/15/2019,12:20,Credit card,3.32,4.4,Mar,Fri,afternoon,Normal,Male,Home and lifestyle,Mandalay,B,Poor
636-48-8204,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,8.64,9.9,Feb,Sun,morning,Normal,Male,Electronic accessories,Yangon,A,Good
549-59-1358,88.63,3,13.29,279.18,3/2/2019,17:36,Ewallet,13.29,6.0,Mar,Sat,evening,Member,Male,Sports and travel,Yangon,A,Average
227-03-5010,52.59,8,21.04,441.76,3/22/2019,19:20,Credit card,21.04,8.5,Mar,Fri,evening,Member,Female,Home and lifestyle,Yangon,A,Good
649-29-6775,33.52,1,1.68,35.20,2/8/2019,15:31,Cash,1.68,6.7,Feb,Fri,afternoon,Normal,Male,Fashion accessories,Mandalay,B,Average
189-17-4241,87.67,2,8.77,184.11,3/10/2019,12:17,Credit card,8.77,7.7,Mar,Sun,afternoon,Normal,Female,Fashion accessories,Yangon,A,Average
145-94-9061,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,22.09,9.6,Jan,Fri,evening,Normal,Female,Food and beverages,Mandalay,B,Good
848-62-7243,24.89,9,11.20,235.21,3/15/2019,15:36,Cash,11.20,7.4,Mar,Fri,afternoon,Normal,Male,Health and beauty,Yangon,A,Average
871-79-8483,94.13,5,23.53,494.18,2/25/2019,19:39,Credit card,23.53,4.8,Feb,Mon,evening,Normal,Male,Fashion accessories,Mandalay,B,Poor
149-71-6266,78.07,9,35.13,737.76,1/28/2019,12:43,Cash,35.13,4.5,Jan,Mon,afternoon,Member,Male,Sports and travel,Mandalay,B,Poor
640-49-2076,83.78,8,33.51,703.75,1/10/2019,14:49,Cash,33.51,5.1,Jan,Thu,afternoon,Normal,Male,Sports and travel,Mandalay,B,Poor
595-11-5460,96.58,2,9.66,202.82,3/15/2019,10:12,Credit card,9.66,5.1,Mar,Fri,morning,Normal,Male,Health and beauty,Yangon,A,Poor
183-56-6882,99.42,4,19.88,417.56,2/6/2019,10:42,Ewallet,19.88,7.5,Feb,Wed,morning,Member,Female,Food and beverages,Naypyitaw,C,Average
232-16-2483,68.12,1,3.41,71.53,1/7/2019,12:28,Ewallet,3.41,6.8,Jan,Mon,afternoon,Member,Female,Sports and travel,Naypyitaw,C,Average
129-29-8530,62.62,5,15.66,328.76,3/10/2019,19:15,Ewallet,15.66,7.0,Mar,Sun,evening,Member,Male,Sports and travel,Yangon,A,Average
272-65-1806,60.88,9,27.40,575.32,1/15/2019,17:17,Ewallet,27.40,4.7,Jan,Tue,evening,Normal,Female,Electronic accessories,Yangon,A,Poor
333-73-7901,54.92,8,21.97,461.33,3/23/2019,13:24,Ewallet,21.97,7.6,Mar,Sat,afternoon,Normal,Female,Health and beauty,Naypyitaw,C,Average
777-82-7220,30.12,8,12.05,253.01,3/3/2019,13:01,Cash,12.05,7.7,Mar,Sun,afternoon,Member,Male,Home and lifestyle,Mandalay,B,Average
280-35-5823,86.72,1,4.34,91.06,1/17/2019,18:45,Ewallet,4.34,7.9,Jan,Thu,evening,Member,Female,Home and lifestyle,Mandalay,B,Average
554-53-8700,56.11,2,5.61,117.83,2/2/2019,10:11,Cash,5.61,6.3,Feb,Sat,morning,Member,Male,Home and lifestyle,Naypyitaw,C,Average
354-25-5821,69.12,6,20.74,435.46,2/8/2019,13:03,Cash,20.74,5.6,Feb,Fri,afternoon,Member,Female,Sports and travel,Mandalay,B,Poor
228-96-1411,98.70,8,39.48,829.08,3/4/2019,20:39,Cash,39.48,7.6,Mar,Mon,evening,Member,Female,Food and beverages,Naypyitaw,C,Average
617-15-4209,15.37,2,1.54,32.28,3/16/2019,19:47,Cash,1.54,7.2,Mar,Sat,evening,Member,Male,Health and beauty,Naypyitaw,C,Average
132-32-9879,93.96,4,18.79,394.63,3/9/2019,18:00,Cash,18.79,9.5,Mar,Sat,evening,Member,Female,Electronic accessories,Mandalay,B,Good
370-41-7321,56.69,9,25.51,535.72,2/27/2019,17:24,Credit card,25.51,8.4,Feb,Wed,evening,Member,Male,Health and beauty,Mandalay,B,Good
727-46-3608,20.01,9,9.00,189.09,2/6/2019,15:47,Ewallet,9.00,4.1,Feb,Wed,afternoon,Member,Female,Food and beverages,Mandalay,B,Poor
669-54-1719,18.93,6,5.68,119.26,2/10/2019,12:45,Credit card,5.68,8.1,Feb,Sun,afternoon,Member,Male,Electronic accessories,Mandalay,B,Good
574-22-5561,82.63,10,41.32,867.62,3/19/2019,17:08,Ewallet,41.32,7.9,Mar,Tue,evening,Member,Female,Fashion accessories,Naypyitaw,C,Average
326-78-5178,91.40,7,31.99,671.79,2/3/2019,10:19,Cash,31.99,9.5,Feb,Sun,morning,Member,Male,Food and beverages,Naypyitaw,C,Good
162-48-8011,44.59,5,11.15,234.10,2/10/2019,15:10,Cash,11.15,8.5,Feb,Sun,afternoon,Member,Female,Food and beverages,Yangon,A,Good
